Verb,Davies,CORPES,WordList,Condition
actuar,123466,45227,2330983,Subject infinitive
amar,60260,28864,1318934,Intensional subj
andar,65394,46822,1567917,Object infinitive
bajar,284649,62583,1981927,Polarity subj
buscar,343132,165471,8054956,Subject infinitive
cambiar,337383,101259,5214782,Object infinitive
cantar,54511,32959,966543,Subject infinitive
causar,57029,35846,1908960,Preposition infinitive
charlar,7583,4193,347240,Subject infinitive
contar,249677,206092,13140103,Subject infinitive
crear,342684,110868,6367536,Object infinitive
cuidar,208160,26928,1534607,Intensional subj
entrar,207551,129316,4429528,Polarity subj
ganar,241610,108656,4900649,Preposition infinitive
hablar,868442,255835,8432028,Polarity subj
hablar,868442,255835,8432028,Preposition infinitive
llamar,303936,207733,8248273,Intensional subj
llegar,534037,367279,14444685,Object infinitive
llevar,1192620,301032,13841181,Intensional subj
llevar,418316,301022,13841181,Preposition infinitive
llorar,56215,35382,602798,Preposition infinitive
mirar,186441,197558,3683993,Intensional subj
mirar,125923,197554,3683993,Subject infinitive
nadar,27224,5128,182321,Polarity subj
pasar,415643,371433,18696580,Object infinitive
peinar,6151,3173,91504,Intensional subj
pensar,449393,247053,7676786,Object infinitive
pintar,45606,22466,893704,Intensional subj
probar,104336,26036,2164727,Preposition infinitive
remar,2470,1190,46272,Preposition infinitive
tocar,93120,71790,2527945,Object infinitive
tratar,590952,203027,9516595,Intensional subj
usar,325514,83172,6925254,Subject infinitive